iter	Passed	Remaining
0	174	34790
1	182	18092
2	187	12313
3	192	9450
4	197	7683
5	202	6553
6	208	5738
7	213	5129
8	219	4649
9	235	4468
10	247	4254
11	253	3965
12	258	3724
13	264	3519
14	271	3342
15	275	3168
16	280	3022
17	285	2891
18	291	2774
19	297	2677
20	303	2585
21	308	2497
22	314	2417
23	320	2347
24	326	2285
25	331	2221
26	337	2161
27	342	2104
28	348	2053
29	353	2003
30	358	1956
31	364	1912
32	369	1870
33	375	1830
34	381	1799
35	387	1763
36	392	1728
37	397	1694
38	402	1662
39	408	1633
40	413	1604
41	419	1578
42	425	1552
43	430	1526
44	436	1503
45	441	1479
46	447	1456
47	452	1434
48	458	1414
49	464	1392
50	469	1372
51	475	1353
52	480	1333
53	485	1313
54	491	1295
55	497	1279
56	502	1261
57	508	1244
58	514	1228
59	519	1211
60	524	1195
61	530	1180
62	535	1165
63	541	1149
64	546	1135
65	551	1120
66	558	1107
67	563	1093
68	568	1079
69	573	1064
70	579	1051
71	584	1038
72	589	1026
73	595	1013
74	600	1000
75	606	989
76	614	982
77	625	977
78	632	968
79	639	959
80	645	948
81	651	937
82	665	937
83	678	937
84	727	984
85	764	1012
86	863	1121
87	871	1109
88	879	1097
89	889	1087
90	896	1073
91	904	1061
92	910	1046
93	918	1035
94	924	1021
95	930	1008
96	942	1000
97	960	999
98	971	991
99	993	993
100	1003	983
101	1022	982
102	1036	976
103	1059	977
104	1072	970
105	1081	959
106	1087	945
107	1104	940
108	1125	939
109	1132	926
110	1140	914
111	1145	900
112	1151	886
113	1157	873
114	1163	859
115	1169	846
116	1175	834
117	1181	820
118	1189	809
119	1195	797
120	1201	784
121	1208	772
122	1214	760
123	1221	748
124	1227	736
125	1233	724
126	1240	712
127	1245	700
128	1253	690
129	1262	679
130	1269	668
131	1276	657
132	1290	649
133	1297	638
134	1312	632
135	1321	621
136	1328	610
137	1337	601
138	1345	590
139	1353	580
140	1359	568
141	1365	557
142	1372	547
143	1377	535
144	1384	525
145	1390	514
146	1395	503
147	1402	492
148	1409	482
149	1417	472
150	1422	461
151	1428	451
152	1434	440
153	1440	430
154	1449	420
155	1454	410
156	1470	402
157	1480	393
158	1493	385
159	1504	376
160	1530	370
161	1537	360
162	1543	350
163	1551	340
164	1556	330
165	1563	320
166	1570	310
167	1580	301
168	1586	291
169	1601	282
170	1607	272
171	1615	262
172	1620	252
173	1630	243
174	1635	233
175	1641	223
176	1649	214
177	1654	204
178	1662	195
179	1668	185
180	1675	175
181	1680	166
182	1686	156
183	1694	147
184	1700	137
185	1707	128
186	1715	119
187	1721	109
188	1729	100
189	1735	91
190	1742	82
191	1750	72
192	1758	63
193	1763	54
194	1770	45
195	1779	36
196	1786	27
197	1793	18
198	1799	9
199	1807	0
